tweet_hash,full_tweet_text
f935648bfff4505900919639a1b3edba,"@kaiser_electric @DanCady @TheDailyShow @GretaThunberg The hard data that you’ll never accept is Trump will win again this year and that’s all that matters. You lose, the globalist elites lose. Cry me a river"
906f31c95e59e61b127237effd0d4f2a,This is the ‘nature’ of the lot we think we’ll be able to depend on to voluntarily do the responsible things needed to combat ClimateChange! We are in the foxhole with these!
0722489357e6ec9e25ad475247d23899,"Climate Change ""Fuelling Deadly Lightning Strikes"" In India: Report https://t.co/MexHiEuwHD"
117370fdbac6be534a8e11afc2fff180,"both aren’t great candidates, but one actually believes in climate change and i really don’t think we can afford to go another 4 years with a president who don’t believe science!!!"
6b4f974a05dce75bb6579953a9291c8f,https://t.co/tPR78bUqa9
827eb313bdfecf73946b9564ee27db4b,I am priviliged to know what is inside the box on this one and believe me - it is going to be awesome and you don't want to miss it. Join us! Sign up now #JoinTheCountdown
e9c411e5017f8f918de27b74aaaf3c56,"@PaulDJohnston @seanburlington How is that so different from other sectors? Does the financial sector act as if there’s any urgency? VCs are just looking for a relatively short-term profit, that’s their business model, why would they have incentive to see a climate problem?"
9ddc89bd65cd3fcc66402dff2dcef625,Y’all ever seen the video of the girl asking “what’s the point of trees” ??....yeah
37eb37d3b09b7fefa9ee34550fa899d5,"#SpeakUpForStudentsSafety 
@narendramodi ji please"
0836ca8faafae20066cde74fb415d282,"Climate + conflict. Please share and join this important session on September 9th at the Red Cross Red Crescent Climate Summit.
@AddisonIIED @ELAC_Oxford @ecioxford @Fromagehomme https://t.co/vNQnrO15l1"
1af33120eeef6d6bc5a657f718ee2daf,"Too many years looking at other side Too many years of good words but no action
https://t.co/uF2rQgj5NT
#ClimateChange #ClimateCrisis https://t.co/Ceg13I0qZK"
ae9c849df95db79d2d6078de5a88013f,Roots Of #Resistance Just released and on a Dozen Best Seller Lists at Amazon. Get your copy and help start a nonviolent #revolution. https://t.co/rmfnkjkypM #Globalwarming https://t.co/yN1ohyH8zO
345bbf012e735a26bfda722c4c4c10d8,"@liamhoden A two year deal in this climate??🤔 far too risky if you ask me, should’ve played it safer and only offered a one year deal"
e93914409a63dbc3e3995a76cac215f0,"Still acting a fool , with climate change, over a fire."
37db9e1e9aee91ae751493ac9fcf2c34,"The COVID-19 crisis is likely to have negative effect on #SDGs efforts and seriously effected #SDG1 No Poverty #SDG8 Economic Dev– #SDG3 Health, #SDG5 - combined with #SDG13 climate change &amp; IDPs, says @amb_mahboub, Former IGAD Executive Secretary. https://t.co/1OT0UIIgf9"
f62bb681a749d7c56a86b7630d4eba7f,"@InTheNoosphere @EXrayFuSion Glad to know all that's corrupt with our political system can be boiled down to this list. It's weird though that wealth disparity, climate damage, resource wars, lobbyist influence, increased surveillance and police brutality were all happening BEFORE they were in power. Hmm..."
e56f9f820bd13d1c0bd1d5ad74ea4ac0,Wow. So brave.
6863b834148c40e1c48ae41e2fc494ab,@richbaggie @jahwibble @PaoloWalnuts I'm convinced it's not genuine but then this is the climate of lies the man peddles. We'll see. Hopefully he'll get a severe dose of it and have some humility and empathy after it. I doubt it though.
5ef164b0b2064f0d89c621d499aa4891,@BarstoolNewsN Man in red sweater discusses climate change
186f53799bdebdc86876e749f0baab67,@climate_sarah
c54dec3832a718d1a82d2bae92080025,"Investor-owned utilities failed to prepare for a climate crisis they helped create. Today, NY's legislature will hold a public hearing to ask why.

@CarlHeastie, your constituents have been harmed. Listen to their stories.

Will you stand up to @NYGovCuomo &amp; demand #PublicPower? https://t.co/h4j4VI1kRI"
e81b8ef5144d870b97f971cbce22bb98,"bom dia!
se o patrão falou ta falado"
2d7d9d7e583bca7f63ea57d2c935cd99,@JordanMartiCor7 @OhlsonJohan @GretaThunberg Go look at any credible paper on natural co2. 97% of all co2 is completely out of humans hands. 0.004% is caused by humans. Your entire ideology is based on “clean energy” investors trying tonnage money from energy that isn’t actually cleaner.
f9b3b3b77e350ee0262807b6633dc421,@BradHollmann Good about time they got that climate chafe bullshit too
15f2e33e50e5e53bc1e27795b8dc5b41,"Este señor debería callarse en este instante..

Creo que sigue hablando voy a perder interés en la serie.."
23114daac08fb951c6ec22b2fb562c02,heresy!!!!!!!! absurd!!!!!!! as if constituents should know better than oil-funded politicians!!!!!!! ha!!!!!
a5f4589ad0dd0d5a3b35bd67eb764851,@AAureilus Here is an image of her and evil Gore promoting climate change and a clever photo shop of soros in the picture. Either way she is owned propaganda from the elite. They probably photoshopped the image themselves so they could cry about it &amp; claim to be the victim. Typical Zionist. https://t.co/mev9WABw5W
0899d0780cb4de5d9b32b10d80d8f20b,- Report both IMELDA &amp; BENEDICT IGNACIO for possible foreign interference in Australia for heavily influencing the political climate here in the Philippines while being Australian citizens at @ACICgovau @ausgov @AusFedPolice or send an email at hotline@nationalsecurity.gov.au... https://t.co/UKkWGzI3RU
e56463ce7f6e2e67dd8c7a5fe6fac129,"Peace and security in the #SCO region demands a climate of trust,non-aggression,respect for international rules &amp; peaceful resolution of differences #RajnathSingh  said, seen as an indirect message to #China which is engaged in a festering border row with India in #EasternLadakh https://t.co/YIJC0hwYTB"
d0535d961f8727c3155836781007650d,"Thank you @nytimes and @cflav for telling this important story. There is so much going on in our world right now, but last night @RedCross and our partners provided a safe place to sleep to more than 19,000 people because of extreme weather and natural disasters. #Joinus"
813c2c1f4969fa2419b6ce2f42c6ee1b,"""Which matters more for the climate: reducing meat consumption or eating local?""  https://t.co/WKCPif34Kf  @YaleE360 @MeatlessMonday @LocalHarvestorg"
a76b2661cf63b0432daa1c0e1f0ba262,Thanks SO much @ArchitectsJrnal both for the award and for continuing to highlight the seriousness of this issue within the industry. Big thanks also to our signatories and our steering group.
ae0675f3b434b3d61e669601ffb756e5,"Energy policy is a complex subject, and the debate over the best way to achieve it is far from settled #sociallyresponsible #ClimateChange"
b4165277f51732ce20870f2b6b3ddfa0,Who is shocked by this?
2a80cedfa4331a22d3066fa6618747ca,"@insane_voice @RuleByLogic @ianrowley677 @TheDisproof @Dribelo1 @dunvirkin @joetheatheistp @OscarsWild1 @Ceist8 @swcrisis @BradPKeyes @KCTaz @ClimatePatriot @Fauntleroy1934 @DawnTJ90 @Jamz129 @JsharkJill @Tangomitteckel @ancistroneura @joedieseldodge @BadgersNo @fknsavages27 @SimonPearson961 @CMorrisonEsq @ncdave4life @maya_phd @CymaticWave @Schtickery @ClimateDepot @stevenmosher @sueytonius @Willard1951 @Tokyo_Tom @jc_Craze @DanCady @PolAnimalAus @ZombiePiano @SimonMaxfield8 @CrangusShish @IngersolRobert @Gladfly1 @AtomsksSanakan @baletown_crawl @leonardjcohen @Kenneth72712993 @FrankWi74044551 @eloarefab @GillesnFio @EthonRaptor @DonWils13730132 Show one that doesn't!
""The consensus among research scientists on anthropogenic global warming has grown to 100%, based on a review of 11,602 peer-reviewed articles on “climate change” and “global warming” published in the first 7 months of 2019."""
8f1c457dc7eb3b548bbcab947596595c,"Out now from @Tagliapietra_S! 
‘A comprehensive, rigorous, fact-based portrayal of the fundamentals of energy discourse'.
Ottmar Edenhofer - Director and Chief Economist of the Potsdam Institute for Climate Impact Research

Buy it now! https://t.co/PEiVgVmjS7 https://t.co/5U1qeumJoH"
9e4594de7a58df6108e72e47eb51599b,"@benshapiro This shows exactly what the issue is...

It isn't that conservatives don't believe in climate change. Its that they know there is no approach to combating climate change that reconciles with their ideology."
4cab6895ef85c2413c940174d2fc00d0,"@MLevitt_NP2013 @jonasalmeida 2.) can we look at a country, especially the US, with the different climates and seasons the same as a smaller European country with the same climate.  The virus barely touched the sun belt, and now it has...is it a resurgence or an initial run? 2/"
404b4ad88bb34a303c034253f72fd18d,"@WizKashifa here's what you can do personally: https://t.co/XBOIz6tjWj

and to the extent you can work for companies that create renewable energy, decarbonize high emitting industries, make negative emissions happen, support candidates who have credible plans tot support the above"
220c133b8273ba4da545adae32099fde,I feel like not believing in climate change should be a disqualifying characteristic of a presidential candidate @realDonaldTrump #ClimateArsonist #ClimateChange
255b57eab9edab502211ee6936424d11,"Exactly. Cause ecology can't speak for itself. Trees, plants &amp; grass can't talk. Animals can't either, but they have response mechanisms like sound &amp; mobility. NYC can not allow the Developers to destroy its beautiful ecology for ""a nice view"""
0446f0a585c518530c92b9beda7587ea,"@Gavala18 Aye same, I saw lightning like this in Cincinnati. Just constant, silent lightning. Climate change, baby."
50d2e80c34b5deff4a4c5b56a173925b,"Even serieus, wij mensen veranderen het aardoppervlak continu. Bouwen, afbreken, ontbossen, bebossen, drainage, noem maar op. Heeft er nog niemand die link gelegd naar #ClimateChange, of is CO2 gewoon de heilige graal?"
824319a7992950ce734d8ec2ca9468cb,Great to work with @drowendouglas again on this article for @ConversationUK. Workers in oil and gas support retraining and reemployment in the renewable sector. Governments must provide support to make a #justtransition a reality #ClimateAction #offshore https://t.co/ykDddRDcSf
a65d3ce7388d8fa203db8d13e41f7126,Who writes this garbage?
22754e23fc4dd77012b2cf1e67399e90,This paper is now out in the final form at Journal of Climate. https://t.co/Z4MjfcfMFL        @TimOsbornClim @JPIClimate @Belmont_Forum @UEAResearch @ueaenv @UEA_COAS @ClimateUEA_
5cc688e8df29846a98849915e29cae5b,@JoeBiden Try deforestation . Enough with climate change
9bafd967748bfa5ae4043241a062a0e6,I hope this dog doesn’t live in a hot climate
e0c7bd82ce2c331e898e2e83d091f452,"There is a lot of sound scientific research emerging, linking the present pandemic to the vast destruction of natural habitats  which among numerous other ecosystem services, This is in the larger context of a global climate breakdown #prakashjavadekar #AmitShah #AmitabhBachchan"
5572ac0719cc6685510a3dd6fe1a022d,"""Climate change is the existential threat facing us. It is also an economic threat as we move forward."" @paulinegalway outlining some of the ways in which #Budget2021 will help deliver a #GreenRecovery 🌍💚🌱 https://t.co/4HFMdXgLxn"
352dec6467d6f3c1b5706c7e5ed64402,https://t.co/bQ56TOCzgs
1005f787224b0562b6882a9609cd4dcf,I support @joekennedy because he’s fighting for the future with his approach to climate change. Join #TeamKennedy and vote on September 1! https://t.co/TXC0cfw4xH
7d381b89ddc0a3ef2ecd8b13b3955796,"@Joshua4NPV1 I’ve gotten one person be kinda okay with thorium molten salt reactors to help solve climate change, but they were reluctant to give in."
f282562066de10a828443ff566bb2770,"@NeilTho68822310 @Tim_J_Roberts Considering we are supposed to be tackling climate change, you would think that the plastics would be banned.🤷‍♀️"
752557c0e4f1f4ef62541c77491fcb1f,As well as Trump and his supporters.
0c4913ebd3edf0b727af084bb7638060,"Awesome, the worlds first alert for a 🔥fire tornado🔥 #eveythingIsFine #AddItToTheList

 #ClimateEmergency https://t.co/PKR54pL7Ie"
b02c57ed00ed2dfe686b4ea2e10ddde6,Like COVID-19... https://t.co/kCcnMWcIM9
a838fffc68a035829c2e8f26d4d09763,"@TheKhiveAreCops @shewz @DavidAgStone @briebriejoy ""The planets going to die from climate change because I'm a selfish prick LMAO"" https://t.co/tV2vdK91vM"
9e4cd20e6f89e1d57cc4f9cd85324ad8,"@KittyGF03 Well, I am waiting for your expert re-write. Genuinely, would it benefit anybody to not call a spade a spade? A farming conference is not about farming if it is all about the climate hoax that like the coronavirus hoax is designed to implement tyrannical globalist technocracy."
baae6d1aa94ff506a49c1fc7917d507b,"No. The democrats are completely obsolete. They have survived with rhetoric and symbolic wins. In today's climate, they barely serve a purpose because they have no strong convictions collectively."
2cd524e2cce39eb48d1707a693eabcb5,Lmao remember how major corporations started shifting the blame for climate change onto consumers as if their CEOs don’t take their private jets to stop and shop. The whole straws thing was all fucking marketing.
e41d6a2bf2e77a36f62715f3eb152911,"@bubbagump64 It also applies, at least, to ""climate science"".

And I'm pretty close to condemning all ""models"". I've worked on plenty, myself. Seen 10,000s of lines of code adjusted by a single parameter that was ""assumed"".

Parsimony is key. Multi-1000 LOC ""models"" lose it."
cc4245b9510bb5fc43f0ffea7b32b211,"‘This spring the nature at the Taymyr Peninsula broke all climate records &amp; really surprised old-timers’, said geographer Vasily Sarana from the Putoransky Nature Reserve. 'Snow at the spurs of the Putorana mountains melted long ago, unusually for this time of year'...' https://t.co/wwgTslu58g"
50175f1415728904b07f92e75b55f5f8,"@thismattjohnson @thetophus You have been given the source for your lie that Biden is somehow good on #ClimateCrisis and you ignore it and continue to lie.

Bye troll."
23007de7e47e62bcf5b5d56e52dfefdb,"Busy watching paint dry, sorry doll."
88492d8e8f3e11d215443fe8bbc5d430,@MollyJongFast I hope our children are taught about climate change in school so we don’t have to listen to people like this ignoramus
da8710bea24e6d4d79558e5ddeb9e6a3,"Microsoft Makes First Climate Fund Investment, Joins Green Group https://t.co/6FtTg0NWkO by @technology"
668302cc3996990587e27dd78cda2e0c,"@alroker Challenge, like human growth, the math will help climate change kick in faster

Thus, it needs to be addressed quicker than most realize"
0d3f80b8b5c7a18092255a4d52a73d7a,Climate is too far gone bc of corporations so instead of changing they kill us
cbe8c489ca4fad1eadc687d91d442c67,LAKE YELLOWSTONE WY Jul 10 Climate: Hi: 69 Lo: 37 Precip: 0.0 Snow: M https://t.co/gH41tVKEGP
dea58f5618ae69fe74b7b4df70fb8a56,"@jebear @GeraldKutney Maybe - but #ClimateChange is not a threat.

You seem to believe in an end-of-the-world religion.

The reason for the end changes every few decades, but the religion stays."
f0cf19221f574be4d65fe744f490adbf,We’ve filed suit to block the Trump administration’s attempts to sell out #publichealth and #publiclands to the coal industry. Do your part to #KeepItInTheGround by taking #ClimateAction: https://t.co/OwUrh0QHm1 https://t.co/dMXFEhrvpC
c852e48792367faa5bba70d64c69f9cc,"ROFL.

""Scientists"" say hunt for culprits (READ: EVIDENCE) is irrelevant. 

Good job, SCIENCE! https://t.co/UC9z3YQD2p"
dd02eeabfd42e59c49e9bb5fd0430296,"#UJ Departments of Sociology, Anthropology and Development Studies &amp; the #UJLibrary invite you to a webinar on: Extractivism, Activism and Climate Justice in Africa.
29 July at 3pm (SA time)
Please click this URL to join: https://t.co/cop1162OQW https://t.co/YnncgT3Ang"
b928f9bad44d9506ebd3bbae066b8745,"The future is extreme whatever we do (or don’t do). It’s those that think we can continue to live as we do that are selling lies... Don’t believe them and #TellTheTruth   

Listen to the #scientists but plan for the worse case scenario.#precautionaryprinciple #ExtinctionRebellion"
6a75e35627fba4e9214a8a205e935cb2,"Vulnerable? I'll tell you who's vulnerable @DouglasKMurray: LGBTQ+ kids without access to the appropriate context and understanding to allow them to grow up realising they're not freaks.

I should know, I grew up under bigotry and Section 28."
7e4f08a50ed19df80867da613808ed0b,"Unlike #COVID19, hunger is not new. Millions of people were already living in hunger due to conflict, the effects of climate crisis, and the broken food system. But the pandemic is increasing inequality and making everything so much worse.

👉🏾 https://t.co/QL5FFNcgka https://t.co/yB0VKxpViW"
1460311a023100463f11f132f9183591,The narrative surrounding faulty COVID data has fomented a national meltdown. Corrupted COVID-19 data is fully comparable to corrupted climate change data. Nursing Homes Shocked At 'Insanely Wrong' COVID-19 Data https://t.co/YrKVNdM80F
7065f9bf01e3e319d887b1a7c3c6f2cf,The climate at these protests now is way different than it was even just a couple of years ago. Just be safe y'all
a39ba64925aee35786b4bb7273dd5cf0,"DJT “I don’t think science knows, actually.” 
NM you can #FlipTheSenateBlue #VoteBlueToEndThisNightmare NM @benraylujan Follow Retweet Donate Vote!"
b97a235b9da0680205b8dc23d0354a01,"”Trots detta skulle det aldrig falla mig in att låta någon aktivist, hur känd hon eller han än är, ens för en sekund diktera vad vi rapporterar om på nyhetsplats eller hur vi utför vårt journalistiska arbete.”  https://t.co/i9Q1cY2XfU via @SvD"
b9de3bad44ad1458daa17cc77c6bcca5,"@Mrdeeds1111 Keep still! We've got enough to deal with without Grieving 
#GretaThunberg We'll put her in Chaz."
